"vaccine","activity_type","country","year","age","fvps"
"YF","campaign","ABC",2024,14,654
"YF","campaign","ABC",2024,15,635
"YF","campaign","ABC",2024,16,615
"YF","campaign","ABC",2024,17,596
"YF","campaign","ABC",2024,18,577
"YF","campaign","ABC",2024,19,558
"YF","campaign","ABC",2024,20,539
"YF","campaign","ABC",2024,21,520
"YF","campaign","ABC",2024,22,500
"YF","campaign","ABC",2024,23,481
"YF","campaign","ABC",2024,24,461
"YF","campaign","ABC",2024,25,443
"YF","campaign","ABC",2024,26,425
"YF","campaign","ABC",2024,27,409
"YF","campaign","ABC",2024,28,395
"YF","campaign","ABC",2024,29,381
"YF","campaign","ABC",2024,30,367
"YF","campaign","ABC",2024,31,355
"YF","campaign","ABC",2024,32,344
"YF","campaign","ABC",2024,33,334
"YF","campaign","ABC",2024,34,325
"YF","campaign","ABC",2024,35,316
"YF","campaign","ABC",2024,36,307
"YF","campaign","ABC",2024,37,298
"YF","campaign","ABC",2024,38,290
"YF","campaign","ABC",2024,39,282
"YF","campaign","ABC",2024,40,275
"YF","campaign","ABC",2024,41,267
"YF","campaign","ABC",2024,42,258
"YF","campaign","ABC",2024,43,248
"YF","campaign","ABC",2024,44,239
"YF","campaign","ABC",2024,45,230
"YF","campaign","ABC",2024,46,221
"YF","campaign","ABC",2024,47,212
"YF","campaign","ABC",2024,48,203
"YF","campaign","ABC",2024,49,193
"YF","campaign","ABC",2024,50,184
"YF","campaign","ABC",2024,51,175
"YF","campaign","ABC",2024,52,167
"YF","campaign","ABC",2024,53,158
"YF","campaign","ABC",2024,54,150
"YF","campaign","ABC",2024,55,142
"YF","campaign","ABC",2024,56,135
"YF","campaign","ABC",2024,57,128
"YF","campaign","ABC",2024,58,122
"YF","campaign","ABC",2024,59,117
"YF","campaign","ABC",2024,60,111
"YF","campaign","ABC",2024,61,105
"YF","campaign","ABC",2024,62,100
"YF","campaign","ABC",2024,63,94
"YF","campaign","ABC",2024,64,88
"YF","campaign","ABC",2024,65,82
"YF","campaign","ABC",2024,66,77
"YF","campaign","ABC",2024,67,71
"YF","campaign","ABC",2024,68,66
"YF","campaign","ABC",2024,69,60
"YF","campaign","ABC",2024,70,55
"YF","campaign","ABC",2024,71,50
"YF","campaign","ABC",2024,72,45
"YF","campaign","ABC",2024,73,41
"YF","campaign","ABC",2024,74,37
"YF","campaign","ABC",2024,75,32
"YF","campaign","ABC",2024,76,29
"YF","campaign","ABC",2024,77,25
"YF","campaign","ABC",2024,78,21
"YF","campaign","ABC",2024,79,18
"YF","campaign","ABC",2024,80,15
"YF","campaign","ABC",2024,81,12
"YF","campaign","ABC",2024,82,9
"YF","campaign","ABC",2024,83,8
"YF","campaign","ABC",2024,84,6
"YF","campaign","ABC",2024,85,4
"YF","campaign","ABC",2024,86,3
"YF","campaign","ABC",2024,87,2
"YF","campaign","ABC",2024,88,2
"YF","campaign","ABC",2024,89,1
"YF","campaign","ABC",2024,90,1
"YF","campaign","ABC",2024,91,1
"YF","campaign","ABC",2024,92,0
"YF","campaign","ABC",2024,93,0
"YF","campaign","ABC",2024,94,0
"YF","campaign","ABC",2024,95,0
"YF","campaign","ABC",2024,96,0
"YF","campaign","ABC",2024,97,0
"YF","campaign","ABC",2024,98,0
"YF","campaign","ABC",2024,99,0
"YF","campaign","ABC",2024,100,0
"YF","routine","ABC",2025,0,4032
"YF","routine","ABC",2026,0,4099
"YF","routine","ABC",2027,0,4166
"YF","routine","ABC",2028,0,4232
"YF","routine","ABC",2029,0,4299
"YF","routine","ABC",2030,0,4367
